"Estimated Resident Population by Age and Sex (1991+) (Annual-Jun)","","","",""
"","","","Male","Female"
" "," ","91 Years",1080,2730
" "," ","92 Years",920,2290
" "," ","93 Years",690,1880
" "," ","94 Years",510,1450
" "," ","95 Years and Over",1020,3310
2010,"As at","0 Years",33020,31510
" "," ","1 Years",33130,30820
" "," ","2 Years",33070,31340
" "," ","3 Years",31860,30280
" "," ","4 Years",30290,29030
" "," ","5 Years",29760,28320
" "," ","6 Years",29950,28550
" "," ","7 Years",29340,27850
" "," ","8 Years",29120,28120
" "," ","9 Years",30610,29150
" "," ","10 Years",31360,29770
" "," ","11 Years",30620,28700
" "," ","12 Years",30980,29520
" "," ","13 Years",30840,29590
" "," ","14 Years",31810,29830
" "," ","15 Years",31790,30410
" "," ","16 Years",31680,30550
" "," ","17 Years",32210,31420
" "," ","18 Years",32130,31390
" "," ","19 Years",33050,32490
" "," ","20 Years",32100,32200
" "," ","21 Years",31170,30640
" "," ","22 Years",30130,29830
" "," ","23 Years",28950,28400
" "," ","24 Years",28100,28250
" "," ","25 Years",27400,28260
" "," ","26 Years",27360,28290
" "," ","27 Years",27160,28270
" "," ","28 Years",26400,27920
" "," ","29 Years",26170,27810
" "," ","30 Years",25770,28010
" "," ","31 Years",25520,28230
" "," ","32 Years",25140,27520
" "," ","33 Years",25670,27980
" "," ","34 Years",25770,28160
" "," ","35 Years",26780,29620
" "," ","36 Years",27890,30980
" "," ","37 Years",28920,32100
" "," ","38 Years",30300,33580
" "," ","39 Years",30640,34140
" "," ","40 Years",30050,33100
" "," ","41 Years",30420,33370
" "," ","42 Years",30060,32800
" "," ","43 Years",29760,32540
" "," ","44 Years",30060,32160
" "," ","45 Years",30400,32390
" "," ","46 Years",31460,33480
" "," ","47 Years",31720,34240
" "," ","48 Years",31890,33960
" "," ","49 Years",31130,33260
" "," ","50 Years",30080,31650
" "," ","51 Years",29630,31090
" "," ","52 Years",28050,29570
" "," ","53 Years",27870,28970
" "," ","54 Years",27170,28220
" "," ","55 Years",26030,27210
" "," ","56 Years",25410,26570
" "," ","57 Years",24480,25510
" "," ","58 Years",24240,25000
" "," ","59 Years",23780,24500
" "," ","60 Years",23680,24560
" "," ","61 Years",23420,23890
" "," ","62 Years",23450,24280
" "," ","63 Years",23410,24270
" "," ","64 Years",19670,20520
" "," ","65 Years",18590,19440
" "," ","66 Years",17790,18340
" "," ","67 Years",15630,16430
" "," ","68 Years",17180,18190
" "," ","69 Years",16690,17680
" "," ","70 Years",15340,16170
" "," ","71 Years",13490,14780
" "," ","72 Years",12880,14000
" "," ","73 Years",11980,13280
" "," ","74 Years",11130,12500
" "," ","75 Years",10640,11660
" "," ","76 Years",9980,11320
" "," ","77 Years",9460,11120
" "," ","78 Years",9290,10710
" "," ","79 Years",9030,10800
" "," ","80 Years",8120,10300
" "," ","81 Years",7560,9510
" "," ","82 Years",6960,9080
" "," ","83 Years",6210,8400
" "," ","84 Years",5380,7890
" "," ","85 Years",4760,7480
" "," ","86 Years",3970,6560
" "," ","87 Years",3330,5790
" "," ","88 Years",2790,5280
" "," ","89 Years",2190,4520
" "," ","90 Years",1770,3800
" "," ","91 Years",1150,2700
" "," ","92 Years",860,2300
" "," ","93 Years",720,1870
" "," ","94 Years",530,1480
" "," ","95 Years and Over",1060,3590
2011,"As at","0 Years",32130,30670
" "," ","1 Years",33060,31460
" "," ","2 Years",33070,30770
" "," ","3 Years",32950,31290
" "," ","4 Years",31810,30250
" "," ","5 Years",30240,29050
" "," ","6 Years",29730,28290
" "," ","7 Years",29910,28600
" "," ","8 Years",29410,27910
" "," ","9 Years",29220,28210
" "," ","10 Years",30720,29310
" "," ","11 Years",31500,29880
" "," ","12 Years",30730,28870
" "," ","13 Years",31190,29630
" "," ","14 Years",31060,29790
" "," ","15 Years",31950,29940
" "," ","16 Years",31980,30730
" "," ","17 Years",31800,30830
" "," ","18 Years",32140,31250
" "," ","19 Years",32460,31470
" "," ","20 Years",33380,32780
" "," ","21 Years",32090,32110
" "," ","22 Years",30860,30220
" "," ","23 Years",29690,29440
" "," ","24 Years",28460,28180
" "," ","25 Years",27490,28120
" "," ","26 Years",26870,28060
" "," ","27 Years",26830,28130
" "," ","28 Years",26740,28350
" "," ","29 Years",26150,28140
" "," ","30 Years",26150,27920
" "," ","31 Years",25770,28200
" "," ","32 Years",25470,28300
" "," ","33 Years",25030,27550
" "," ","34 Years",25700,28030
" "," ","35 Years",25730,28240
" "," ","36 Years",26800,29690
" "," ","37 Years",27960,30990
" "," ","38 Years",28910,32190
" "," ","39 Years",30250,33600
" "," ","40 Years",30610,34190
" "," ","41 Years",30010,33100
" "," ","42 Years",30400,33360
" "," ","43 Years",30010,32750
" "," ","44 Years",29670,32530
" "," ","45 Years",29970,32090
" "," ","46 Years",30290,32280
" "," ","47 Years",31300,33400
" "," ","48 Years",31530,34130
" "," ","49 Years",31760,33830
" "," ","50 Years",30940,33090
" "," ","51 Years",29880,31520
" "," ","52 Years",29430,30970
" "," ","53 Years",27840,29410
" "," ","54 Years",27700,28900
" "," ","55 Years",26960,28110
" "," ","56 Years",25870,27160
" "," ","57 Years",25290,26540
" "," ","58 Years",24350,25480
" "," ","59 Years",24060,24970
" "," ","60 Years",23700,24490
" "," ","61 Years",23540,24540
" "," ","62 Years",23330,23840
" "," ","63 Years",23320,24200
" "," ","64 Years",23280,24170
" "," ","65 Years",19590,20450
" "," ","66 Years",18420,19330
" "," ","67 Years",17630,18210
" "," ","68 Years",15460,16290
" "," ","69 Years",16960,18000
" "," ","70 Years",16390,17450
" "," ","71 Years",15030,15900
" "," ","72 Years",13170,14570
" "," ","73 Years",12540,13760
" "," ","74 Years",11670,13050
" "," ","75 Years",10790,12210
" "," ","76 Years",10290,11380
" "," ","77 Years",9610,11050
" "," ","78 Years",8990,10800
" "," ","79 Years",8850,10360
" "," ","80 Years",8560,10410
" "," ","81 Years",7650,9820
" "," ","82 Years",7040,9040
" "," ","83 Years",6400,8590
" "," ","84 Years",5700,7870
" "," ","85 Years",4830,7290
" "," ","86 Years",4250,6900
" "," ","87 Years",3480,5930
" "," ","88 Years",2920,5170
" "," ","89 Years",2360,4660
" "," ","90 Years",1830,3930
" "," ","91 Years",1440,3200
" "," ","92 Years",930,2240
" "," ","93 Years",670,1880
" "," ","94 Years",550,1480
" "," ","95 Years and Over",1120,3710
2012,"As at","0 Years",31320,29880
" "," ","1 Years",32050,30640
" "," ","2 Years",32930,31310
" "," ","3 Years",32970,30670
" "," ","4 Years",32820,31140
" "," ","5 Years",31670,30120
" "," ","6 Years",30080,28900
" "," ","7 Years",29610,28200
" "," ","8 Years",29840,28490
" "," ","9 Years",29330,27850
" "," ","10 Years",29220,28210
" "," ","11 Years",30790,29380
" "," ","12 Years",31640,29910
" "," ","13 Years",30830,28910
" "," ","14 Years",31400,29700
" "," ","15 Years",31310,30020
" "," ","16 Years",32180,30160
" "," ","17 Years",32120,30890
" "," ","18 Years",31760,30590
" "," ","19 Years",32470,31340
" "," ","20 Years",32580,31580
" "," ","21 Years",33060,32450
" "," ","22 Years",31510,31400
" "," ","23 Years",30250,29730
" "," ","24 Years",28950,29140
" "," ","25 Years",27780,28030
" "," ","26 Years",26900,27980
" "," ","27 Years",26330,28050
" "," ","28 Years",26420,28130
" "," ","29 Years",26520,28370
" "," ","30 Years",26000,28260
" "," ","31 Years",26110,28030
" "," ","32 Years",25610,28140
" "," ","33 Years",25340,28290
" "," ","34 Years",24980,27560
" "," ","35 Years",25670,28000
" "," ","36 Years",25710,28210
" "," ","37 Years",26770,29700
" "," ","38 Years",27940,30960
" "," ","39 Years",28910,32280
" "," ","40 Years",30210,33550
" "," ","41 Years",30580,34190
" "," ","42 Years",29940,33050
" "," ","43 Years",30300,33270
" "," ","44 Years",29920,32680
" "," ","45 Years",29530,32440
" "," ","46 Years",29820,31920
" "," ","47 Years",30150,32110
" "," ","48 Years",31110,33190
" "," ","49 Years",31330,33930
" "," ","50 Years",31520,33640
" "," ","51 Years",30740,32950
" "," ","52 Years",29630,31340
" "," ","53 Years",29190,30830
" "," ","54 Years",27670,29320
" "," ","55 Years",27520,28840
" "," ","56 Years",26760,28040
" "," ","57 Years",25730,27140
" "," ","58 Years",25160,26530
" "," ","59 Years",24210,25480
" "," ","60 Years",23950,24980
" "," ","61 Years",23580,24440
" "," ","62 Years",23410,24510
" "," ","63 Years",23240,23820
" "," ","64 Years",23190,24150
" "," ","65 Years",23200,24040
" "," ","66 Years",19390,20350
" "," ","67 Years",18190,19190
" "," ","68 Years",17420,18050
" "," ","69 Years",15240,16110
" "," ","70 Years",16680,17790
" "," ","71 Years",16060,17210
" "," ","72 Years",14710,15680
" "," ","73 Years",12830,14350
" "," ","74 Years",12190,13510
" "," ","75 Years",11310,12750
" "," ","76 Years",10410,11880
" "," ","77 Years",9880,11070
" "," ","78 Years",9200,10750
" "," ","79 Years",8550,10460
" "," ","80 Years",8390,9930
" "," ","81 Years",8040,9960
" "," ","82 Years",7130,9340
" "," ","83 Years",6540,8550
" "," ","84 Years",5860,7980
" "," ","85 Years",5160,7350
" "," ","86 Years",4310,6650
" "," ","87 Years",3760,6250
" "," ","88 Years",2990,5280
" "," ","89 Years",2460,4540
" "," ","90 Years",1960,4010
" "," ","91 Years",1480,3320
" "," ","92 Years",1140,2650
" "," ","93 Years",730,1790
" "," ","94 Years",520,1480
" "," ","95 Years and Over",1190,3780
2013,"As at","0 Years",30890,29370
" "," ","1 Years",31410,29950
" "," ","2 Years",31970,30580
" "," ","3 Years",32960,31320
" "," ","4 Years",32930,30550
" "," ","5 Years",32730,31090
" "," ","6 Years",31520,30050
" "," ","7 Years",29960,28790
" "," ","8 Years",29550,28140
" "," ","9 Years",29810,28430
" "," ","10 Years",29330,27900
" "," ","11 Years",29240,28280
" "," ","12 Years",30870,29480
" "," ","13 Years",31780,29930
" "," ","14 Years",30980,29000
" "," ","15 Years",31620,29930
" "," ","16 Years",31650,30350
" "," ","17 Years",32430,30440
" "," ","18 Years",32160,30770
" "," ","19 Years",32290,30840
" "," ","20 Years",32810,31590
" "," ","21 Years",32490,31430
" "," ","22 Years",32760,32070
" "," ","23 Years",31220,31030
" "," ","24 Years",29910,29620
" "," ","25 Years",28550,29240
" "," ","26 Years",27500,28240
" "," ","27 Years",26710,28080
" "," ","28 Years",26240,28290
" "," ","29 Years",26330,28300
" "," ","30 Years",26530,28630
" "," ","31 Years",26060,28510
" "," ","32 Years",26030,28010
" "," ","33 Years",25570,28140
" "," ","34 Years",25320,28290
" "," ","35 Years",24970,27630
" "," ","36 Years",25740,28060
" "," ","37 Years",25830,28300
" "," ","38 Years",26840,29790
" "," ","39 Years",28120,31070
" "," ","40 Years",29000,32360
" "," ","41 Years",30270,33550
" "," ","42 Years",30650,34240
" "," ","43 Years",29990,33070
" "," ","44 Years",30260,33180
" "," ","45 Years",29930,32650
" "," ","46 Years",29520,32390
" "," ","47 Years",29680,31790
" "," ","48 Years",30000,31970
" "," ","49 Years",30960,33100
" "," ","50 Years",31200,33790
" "," ","51 Years",31370,33500
" "," ","52 Years",30570,32770
" "," ","53 Years",29500,31240
" "," ","54 Years",29030,30700
" "," ","55 Years",27530,29230
" "," ","56 Years",27380,28790
" "," ","57 Years",26620,27970
" "," ","58 Years",25610,27100
" "," ","59 Years",25030,26490
" "," ","60 Years",24120,25490
" "," ","61 Years",23850,24970
" "," ","62 Years",23520,24380
" "," ","63 Years",23270,24470
" "," ","64 Years",23140,23800
" "," ","65 Years",23070,24050
" "," ","66 Years",23050,23940
" "," ","67 Years",19250,20190
" "," ","68 Years",18010,19110
" "," ","69 Years",17190,17900
" "," ","70 Years",14990,15930
" "," ","71 Years",16410,17570
" "," ","72 Years",15750,16960
" "," ","73 Years",14360,15490
" "," ","74 Years",12520,14060
" "," ","75 Years",11820,13220
" "," ","76 Years",10910,12470
" "," ","77 Years",10020,11540
" "," ","78 Years",9480,10730
" "," ","79 Years",8780,10380
" "," ","80 Years",8100,10090
" "," ","81 Years",7900,9520
" "," ","82 Years",7540,9530
" "," ","83 Years",6570,8820
" "," ","84 Years",6000,8060
" "," ","85 Years",5280,7380
" "," ","86 Years",4610,6750
" "," ","87 Years",3760,6040
" "," ","88 Years",3210,5610
" "," ","89 Years",2470,4660
" "," ","90 Years",2060,3930
" "," ","91 Years",1590,3410
" "," ","92 Years",1180,2740
" "," ","93 Years",910,2150
" "," ","94 Years",560,1400
" "," ","95 Years and Over",1200,3810
2014,"As at","0 Years",30140,28390
" "," ","1 Years",31010,29510
" "," ","2 Years",31670,30150
" "," ","3 Years",32220,30730
" "," ","4 Years",33110,31460
" "," ","5 Years",33050,30700
" "," ","6 Years",32870,31180
" "," ","7 Years",31670,30150
" "," ","8 Years",30110,28910
" "," ","9 Years",29700,28290
" "," ","10 Years",29960,28540
" "," ","11 Years",29600,28040
" "," ","12 Years",29490,28500
" "," ","13 Years",31050,29630
" "," ","14 Years",31850,30030
" "," ","15 Years",31200,29310
" "," ","16 Years",31920,30230
" "," ","17 Years",31970,30680
" "," ","18 Years",32870,30640
" "," ","19 Years",33320,31180
" "," ","20 Years",33360,31230
" "," ","21 Years",33640,31840
" "," ","22 Years",33500,31610
" "," ","23 Years",33600,32380
" "," ","24 Years",32200,31650
" "," ","25 Years",30780,30410
" "," ","26 Years",29490,30290
" "," ","27 Years",28440,29200
" "," ","28 Years",27720,28990
" "," ","29 Years",27110,29250
" "," ","30 Years",27330,29160
" "," ","31 Years",27460,29310
" "," ","32 Years",26910,29000
" "," ","33 Years",26780,28580
" "," ","34 Years",26290,28590
" "," ","35 Years",25980,28690
" "," ","36 Years",25570,27970
" "," ","37 Years",26230,28390
" "," ","38 Years",26360,28530
" "," ","39 Years",27310,30010
" "," ","40 Years",28540,31360
" "," ","41 Years",29570,32480
" "," ","42 Years",30730,33770
" "," ","43 Years",31110,34380
" "," ","44 Years",30470,33230
" "," ","45 Years",30650,33280
" "," ","46 Years",30230,32750
" "," ","47 Years",29780,32370
" "," ","48 Years",29900,31760
" "," ","49 Years",30200,32010
" "," ","50 Years",31150,33120
" "," ","51 Years",31370,33770
" "," ","52 Years",31440,33490
" "," ","53 Years",30590,32740
" "," ","54 Years",29500,31200
" "," ","55 Years",29070,30670
" "," ","56 Years",27590,29280
" "," ","57 Years",27330,28700
" "," ","58 Years",26590,27920
" "," ","59 Years",25570,27060
" "," ","60 Years",24970,26470
" "," ","61 Years",24110,25470
" "," ","62 Years",23840,24920
" "," ","63 Years",23440,24270
" "," ","64 Years",23170,24370
" "," ","65 Years",23060,23620
" "," ","66 Years",22850,23910
" "," ","67 Years",22790,23730
" "," ","68 Years",19040,20010
" "," ","69 Years",17730,18880
" "," ","70 Years",16930,17690
" "," ","71 Years",14720,15700
" "," ","72 Years",16070,17320
" "," ","73 Years",15350,16700
" "," ","74 Years",13970,15230
" "," ","75 Years",12190,13800
" "," ","76 Years",11440,12930
" "," ","77 Years",10540,12120
" "," ","78 Years",9600,11180
" "," ","79 Years",9020,10380
" "," ","80 Years",8340,10000
" "," ","81 Years",7640,9660
" "," ","82 Years",7360,9070
" "," ","83 Years",7000,9020
" "," ","84 Years",5990,8350
" "," ","85 Years",5440,7510
" "," ","86 Years",4730,6850
" "," ","87 Years",4060,6210
" "," ","88 Years",3300,5470
" "," ","89 Years",2760,5010
" "," ","90 Years",2110,4070
" "," ","91 Years",1710,3370
" "," ","92 Years",1290,2890
" "," ","93 Years",970,2270
" "," ","94 Years",730,1740
" "," ","95 Years and Over",1250,3860
2015,"As at","0 Years",30350,28520
" "," ","1 Years",30350,28670
" "," ","2 Years",31400,29890
" "," ","3 Years",32020,30430
" "," ","4 Years",32540,31040
" "," ","5 Years",33360,31720
" "," ","6 Years",33280,30870
" "," ","7 Years",33060,31310
" "," ","8 Years",31880,30320
" "," ","9 Years",30340,29120
" "," ","10 Years",29980,28530
" "," ","11 Years",30160,28740
" "," ","12 Years",29980,28330
" "," ","13 Years",29880,28800
" "," ","14 Years",31360,29920
" "," ","15 Years",32200,30390
" "," ","16 Years",31620,29800
" "," ","17 Years",32340,30680
" "," ","18 Years",32580,30950
" "," ","19 Years",34130,31190
" "," ","20 Years",34710,31650
" "," ","21 Years",34560,31570
" "," ","22 Years",35130,32160
" "," ","23 Years",35270,32550
" "," ","24 Years",35200,33350
" "," ","25 Years",33840,32720
" "," ","26 Years",32170,31610
" "," ","27 Years",31000,31710
" "," ","28 Years",29900,30500
" "," ","29 Years",29070,30240
" "," ","30 Years",28470,30360
" "," ","31 Years",28560,30210
" "," ","32 Years",28440,30000
" "," ","33 Years",27870,29740
" "," ","34 Years",27700,29240
" "," ","35 Years",27190,29080
" "," ","36 Years",26830,29170
" "," ","37 Years",26280,28340
" "," ","38 Years",26880,28830
" "," ","39 Years",27010,28830
" "," ","40 Years",27880,30330
" "," ","41 Years",29050,31700
" "," ","42 Years",30140,32710
" "," ","43 Years",31310,34030
" "," ","44 Years",31570,34610
" "," ","45 Years",30940,33410
" "," ","46 Years",31090,33380
" "," ","47 Years",30590,32860
" "," ","48 Years",30080,32450
" "," ","49 Years",30140,31800
" "," ","50 Years",30470,32140
" "," ","51 Years",31310,33210
" "," ","52 Years",31620,33830
" "," ","53 Years",31550,33520
" "," ","54 Years",30660,32760
" "," ","55 Years",29640,31220
" "," ","56 Years",29150,30710
" "," ","57 Years",27690,29360
" "," ","58 Years",27240,28670
" "," ","59 Years",26540,27920
" "," ","60 Years",25620,27100
" "," ","61 Years",24960,26430
" "," ","62 Years",24130,25430
" "," ","63 Years",23800,24920
" "," ","64 Years",23360,24140
" "," ","65 Years",23100,24270
" "," ","66 Years",22840,23450
" "," ","67 Years",22630,23720
" "," ","68 Years",22450,23460
" "," ","69 Years",18770,19780
" "," ","70 Years",17460,18640
" "," ","71 Years",16580,17460
" "," ","72 Years",14420,15460
" "," ","73 Years",15670,17050
" "," ","74 Years",14970,16370
" "," ","75 Years",13560,14950
" "," ","76 Years",11770,13500
" "," ","77 Years",11040,12620
" "," ","78 Years",10100,11750
" "," ","79 Years",9180,10830
" "," ","80 Years",8550,10010
" "," ","81 Years",7870,9590
" "," ","82 Years",7100,9160
" "," ","83 Years",6820,8550
" "," ","84 Years",6480,8450
" "," ","85 Years",5450,7750
" "," ","86 Years",4860,6940
" "," ","87 Years",4120,6250
" "," ","88 Years",3500,5590
" "," ","89 Years",2810,4890
" "," ","90 Years",2330,4410
" "," ","91 Years",1720,3510
" "," ","92 Years",1350,2840
" "," ","93 Years",1040,2370
" "," ","94 Years",750,1830
" "," ","95 Years and Over",1370,4120
2016,"As at","0 Years",30610,28790
" "," ","1 Years",30650,28900
" "," ","2 Years",30920,29060
" "," ","3 Years",31970,30460
" "," ","4 Years",32460,30880
" "," ","5 Years",32990,31400
" "," ","6 Years",33630,31990
" "," ","7 Years",33510,31080
" "," ","8 Years",33360,31560
" "," ","9 Years",32240,30590
" "," ","10 Years",30710,29430
" "," ","11 Years",30300,28830
" "," ","12 Years",30450,29080
" "," ","13 Years",30500,28640
" "," ","14 Years",30430,29200
" "," ","15 Years",31970,30490
" "," ","16 Years",32770,30940
" "," ","17 Years",32150,30340
" "," ","18 Years",32900,30960
" "," ","19 Years",33640,31530
" "," ","20 Years",35250,31800
" "," ","21 Years",35630,32260
" "," ","22 Years",35470,32150
" "," ","23 Years",36570,33150
" "," ","24 Years",36820,33860
" "," ","25 Years",36740,34770
" "," ","26 Years",35490,34330
" "," ","27 Years",33600,33250
" "," ","28 Years",32600,33430
" "," ","29 Years",31620,32000
" "," ","30 Years",30500,31640
" "," ","31 Years",29760,31760
" "," ","32 Years",29910,31270
" "," ","33 Years",29590,30900
" "," ","34 Years",28960,30520
" "," ","35 Years",28680,29850
" "," ","36 Years",28100,29740
" "," ","37 Years",27720,29740
" "," ","38 Years",27080,28910
" "," ","39 Years",27580,29270
" "," ","40 Years",27730,29240
" "," ","41 Years",28500,30750
" "," ","42 Years",29640,32070
" "," ","43 Years",30820,32950
" "," ","44 Years",31930,34330
" "," ","45 Years",32060,34850
" "," ","46 Years",31460,33560
" "," ","47 Years",31490,33560
" "," ","48 Years",31030,33030
" "," ","49 Years",30360,32510
" "," ","50 Years",30440,31890
" "," ","51 Years",30700,32330
" "," ","52 Years",31560,33280
" "," ","53 Years",31810,33960
" "," ","54 Years",31700,33550
" "," ","55 Years",30710,32800
" "," ","56 Years",29730,31300
" "," ","57 Years",29250,30770
" "," ","58 Years",27750,29450
" "," ","59 Years",27260,28700
" "," ","60 Years",26540,27930
" "," ","61 Years",25640,27220
" "," ","62 Years",24930,26400
" "," ","63 Years",24090,25420
" "," ","64 Years",23780,24830
" "," ","65 Years",23280,24050
" "," ","66 Years",22960,24090
" "," ","67 Years",22650,23280
" "," ","68 Years",22440,23510
" "," ","69 Years",22160,23170
" "," ","70 Years",18500,19550
" "," ","71 Years",17190,18370
" "," ","72 Years",16260,17180
" "," ","73 Years",14100,15210
" "," ","74 Years",15210,16740
" "," ","75 Years",14520,16050
" "," ","76 Years",13120,14640
" "," ","77 Years",11370,13180
" "," ","78 Years",10560,12220
" "," ","79 Years",9650,11340
" "," ","80 Years",8730,10420
" "," ","81 Years",8080,9630
" "," ","82 Years",7370,9150
" "," ","83 Years",6610,8690
" "," ","84 Years",6250,8090
" "," ","85 Years",5910,7850
" "," ","86 Years",4890,7160
" "," ","87 Years",4320,6360
" "," ","88 Years",3610,5620
" "," ","89 Years",3010,4990
" "," ","90 Years",2340,4240
" "," ","91 Years",1920,3740
" "," ","92 Years",1400,2970
" "," ","93 Years",1080,2360
" "," ","94 Years",800,1920
" "," ","95 Years and Over",1510,4390
2017,"As at","0 Years",30690,29450
" "," ","1 Years",30930,29040
" "," ","2 Years",31290,29470
" "," ","3 Years",31570,29610
" "," ","4 Years",32480,30980
" "," ","5 Years",32950,31390
" "," ","6 Years",33450,31750
" "," ","7 Years",33970,32270
" "," ","8 Years",33860,31380
" "," ","9 Years",33630,31900
" "," ","10 Years",32680,30950
" "," ","11 Years",31150,29750
" "," ","12 Years",30710,29200
" "," ","13 Years",30750,29400
" "," ","14 Years",31080,29100
" "," ","15 Years",31110,29850
" "," ","16 Years",32690,31110
" "," ","17 Years",33240,31460
" "," ","18 Years",32440,30710
" "," ","19 Years",33610,31390
" "," ","20 Years",34280,31820
" "," ","21 Years",35580,32190
" "," ","22 Years",35840,32700
" "," ","23 Years",36110,32990
" "," ","24 Years",37470,34130
" "," ","25 Years",37940,35010
" "," ","26 Years",37790,36180
" "," ","27 Years",36760,35750
" "," ","28 Years",34940,34890
" "," ","29 Years",34150,34950
" "," ","30 Years",33140,33300
" "," ","31 Years",31930,32830
" "," ","32 Years",31030,32790
" "," ","33 Years",31100,32230
" "," ","34 Years",30720,31720
" "," ","35 Years",30040,31280
" "," ","36 Years",29670,30510
" "," ","37 Years",29140,30380
" "," ","38 Years",28640,30270
" "," ","39 Years",27870,29420
" "," ","40 Years",28340,29740
" "," ","41 Years",28400,29630
" "," ","42 Years",29160,31110
" "," ","43 Years",30240,32390
" "," ","44 Years",31430,33220
" "," ","45 Years",32500,34620
" "," ","46 Years",32560,35030
" "," ","47 Years",31920,33690
" "," ","48 Years",31900,33730
" "," ","49 Years",31360,33180
" "," ","50 Years",30640,32560
" "," ","51 Years",30660,31980
" "," ","52 Years",30960,32430
" "," ","53 Years",31740,33370
" "," ","54 Years",31980,34060
" "," ","55 Years",31770,33570
" "," ","56 Years",30730,32860
" "," ","57 Years",29850,31310
" "," ","58 Years",29280,30810
" "," ","59 Years",27800,29560
" "," ","60 Years",27210,28670
" "," ","61 Years",26510,27870
" "," ","62 Years",25610,27180
" "," ","63 Years",24890,26370
" "," ","64 Years",24050,25400
" "," ","65 Years",23710,24720
" "," ","66 Years",23100,23950
" "," ","67 Years",22790,23910
" "," ","68 Years",22410,23070
" "," ","69 Years",22100,23270
" "," ","70 Years",21800,22870
" "," ","71 Years",18220,19290
" "," ","72 Years",16840,18070
" "," ","73 Years",15900,16840
" "," ","74 Years",13760,14900
" "," ","75 Years",14800,16380
" "," ","76 Years",14050,15680
" "," ","77 Years",12630,14290
" "," ","78 Years",10970,12840
" "," ","79 Years",10060,11830
" "," ","80 Years",9160,10940
" "," ","81 Years",8180,9970
" "," ","82 Years",7560,9180
" "," ","83 Years",6860,8680
" "," ","84 Years",6040,8140
" "," ","85 Years",5620,7530
" "," ","86 Years",5290,7200
" "," ","87 Years",4350,6550
" "," ","88 Years",3770,5750
" "," ","89 Years",3100,4950
" "," ","90 Years",2540,4340
" "," ","91 Years",1920,3660
" "," ","92 Years",1550,3170
" "," ","93 Years",1100,2500
" "," ","94 Years",820,1940
" "," ","95 Years and Over",1690,4710
2018,"As at","0 Years",30530,29000
" "," ","1 Years",30900,29620
" "," ","2 Years",31420,29470
" "," ","3 Years",31850,30030
" "," ","4 Years",32120,30100
" "," ","5 Years",32960,31470
" "," ","6 Years",33340,31830
" "," ","7 Years",33780,32050
" "," ","8 Years",34200,32500
" "," ","9 Years",34150,31640
" "," ","10 Years",33930,32130
" "," ","11 Years",33010,31280
" "," ","12 Years",31540,30080
" "," ","13 Years",31040,29590
" "," ","14 Years",31160,29750
" "," ","15 Years",31730,29620
" "," ","16 Years",31800,30440
" "," ","17 Years",33240,31530
" "," ","18 Years",33440,31660
" "," ","19 Years",32890,31000
" "," ","20 Years",34130,31850
" "," ","21 Years",34500,32100
" "," ","22 Years",35600,32420
" "," ","23 Years",36120,33250
" "," ","24 Years",36450,33660
" "," ","25 Years",37990,34980
" "," ","26 Years",38730,36260
" "," ","27 Years",38680,37440
" "," ","28 Years",37910,37090
" "," ","29 Years",36030,36090
" "," ","30 Years",35420,36170
" "," ","31 Years",34380,34380
" "," ","32 Years",33060,33890
" "," ","33 Years",32140,33520
" "," ","34 Years",32190,33060
" "," ","35 Years",31710,32510
" "," ","36 Years",31090,31930
" "," ","37 Years",30600,31080
" "," ","38 Years",30040,30910
" "," ","39 Years",29500,30700
" "," ","40 Years",28670,29870
" "," ","41 Years",29020,30090
" "," ","42 Years",29050,29920
" "," ","43 Years",29770,31330
" "," ","44 Years",30790,32670
" "," ","45 Years",32030,33450
" "," ","46 Years",33000,34820
" "," ","47 Years",33000,35110
" "," ","48 Years",32290,33740
" "," ","49 Years",32290,33830
" "," ","50 Years",31660,33230
" "," ","51 Years",30900,32580
" "," ","52 Years",30800,32030
" "," ","53 Years",31150,32560
" "," ","54 Years",31840,33430
" "," ","55 Years",32110,34120
" "," ","56 Years",31810,33590
" "," ","57 Years",30770,32830
" "," ","58 Years",29880,31290
" "," ","59 Years",29260,30780
" "," ","60 Years",27840,29560
" "," ","61 Years",27110,28610
" "," ","62 Years",26400,27820
" "," ","63 Years",25430,27120
" "," ","64 Years",24810,26240
" "," ","65 Years",24020,25300
" "," ","66 Years",23520,24570
" "," ","67 Years",22870,23710
" "," ","68 Years",22540,23680
" "," ","69 Years",22140,22740
" "," ","70 Years",21730,22970
" "," ","71 Years",21400,22520
" "," ","72 Years",17870,18980
" "," ","73 Years",16460,17720
" "," ","74 Years",15520,16490
" "," ","75 Years",13350,14540
" "," ","76 Years",14300,16020
" "," ","77 Years",13550,15250
" "," ","78 Years",12090,13860
" "," ","79 Years",10510,12410
" "," ","80 Years",9570,11400
" "," ","81 Years",8610,10460
" "," ","82 Years",7630,9480
" "," ","83 Years",7010,8700
" "," ","84 Years",6300,8170
" "," ","85 Years",5480,7600
" "," ","86 Years",5020,6930
" "," ","87 Years",4640,6560
" "," ","88 Years",3780,5890
" "," ","89 Years",3260,5110
" "," ","90 Years",2560,4320
" "," ","91 Years",2070,3690
" "," ","92 Years",1550,3090
" "," ","93 Years",1210,2610
" "," ","94 Years",840,2000
" "," ","95 Years and Over",1780,4980
"Table information:"
"Units:"
