"Estimated migrants by age group and sex, 12/16-month rule (Annual-Jun)","","","","","","","","","","","","","","","","","",""
"","","",2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
" "," ","Male",1263,1248,1254,1482,1482,1647,1890,1743,1728,2076,2064,1653,1407,1305,1284,1419
" ","55-59 years","Female",813,855,1008,1113,1131,1218,1422,1329,1242,1371,1479,1428,1335,1194,1236,1224
" "," ","Male",882,867,954,1086,1167,1260,1431,1299,1191,1413,1515,1326,1113,1044,1047,1086
" ","60-64 years","Female",552,600,630,630,693,690,930,813,792,906,915,858,834,876,888,984
" "," ","Male",516,537,612,663,651,744,936,873,762,885,915,804,768,705,897,807
" ","65-69 years","Female",438,459,462,468,465,558,567,501,474,525,540,543,573,633,666,687
" "," ","Male",396,396,429,429,495,471,561,474,483,462,531,519,576,603,612,666
" ","70-74 years","Female",243,294,312,288,294,318,378,315,336,318,348,312,333,342,390,444
" "," ","Male",252,264,261,306,255,276,333,300,288,312,318,309,312,369,336,378
" ","75-79 years","Female",195,204,192,171,174,198,219,210,174,213,201,207,234,201,264,231
" "," ","Male",129,147,183,153,177,153,171,171,153,168,168,183,183,204,240,240
" ","80 years and over","Female",156,174,171,174,189,165,183,186,180,219,204,210,186,177,219,225
" "," ","Male",99,117,99,111,99,105,123,132,114,156,132,141,156,147,147,177
"Table information:"
"Units:"
"Number, Magnitude = Units"
""
"Footnotes:"
"Migration statistics by the 12/16-month rule is a new measure for estimating the contribution of international migration to changes in New Zealand's resident population."
"For detailed metadata about the 12/16-month rule, see DataInfo+. http://ow.ly/mCBr30eDATo"
" "
"Symbols:"
".. figure not available"
"C: Confidential"
"E: Early Estimate"
"P: Provisional"
"R: Revised"
"S: Suppressed"
""
"Status flags are not displayed"
""
"Table reference: "
"ITM395AA"
""
"Last updated:"
"22 November 2018 10:45am"
""
"Source: Statistics New Zealand"
"Contact: Information Centre"
"Telephone: 0508 525 525"
"Email:info@stats.govt.nz"
""
""
""
